Generations,Best Solution,Evaluations,Best Fitness,Media,Desvio Padrao
70,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",15486,"(2.03533669347609,)",2.9260158913458465,4.256583226292701
71,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",15577,"(2.03533669347609,)",2.737644840033056,5.406981163343952
72,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",15662,"(2.03533669347609,)",2.6697692758289726,3.4984789444832303
73,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",15753,"(2.03533669347609,)",3.463402963105549,6.77529719836744
74,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",15843,"(2.03533669347609,)",2.2048587628431546,1.6867232933254626
75,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",15933,"(2.03533669347609,)",2.1376892160830705,1.0183947415011696
76,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",16025,"(2.03533669347609,)",2.3513275969871574,2.853118965769586
77,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",16115,"(2.03533669347609,)",2.8997900915564814,5.245316289769828
78,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",16208,"(2.03533669347609,)",2.234271154911605,1.4912563366084601
79,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",16304,"(2.03533669347609,)",2.813208719926932,3.72341031285807
80,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",16402,"(2.03533669347609,)",2.5329615211395553,2.8018912936431075
81,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",16488,"(2.03533669347609,)",2.474227970427135,2.5364414161323685
82,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",16569,"(2.03533669347609,)",2.5418140019547897,2.910219268897281
83,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",16652,"(2.03533669347609,)",2.6218357788891438,3.681245794160054
84,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",16740,"(2.03533669347609,)",2.1639630332705986,0.9867324459809051
85,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",16828,"(2.03533669347609,)",2.5707301173582033,2.930865382786363
86,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",16923,"(2.03533669347609,)",2.433562294536285,3.0905404328098878
87,"[-0.010041251334955814, 0.01916467243350417, 0.02719210107669434, 0.01803288928939517, 0.025720160763374578, 0.017005676464538988, 0.003508362768281259, 0.0410816124662704, -0.029632841892530237, 1.0090543713647369]",17017,"(2.03533669347609,)",2.2172484552750196,1.2926160992793727
